id,overall_score,num_s2r_sentences,num_steps,num_hq_steps,num_as_steps,num_vm_steps,steps_with_action,steps_with_object,steps_with_ui_term,steps_imperative,steps_with_vague_terms,step_details,s2r_sentences
Csv-13,0.0,4,5,0,0,5,0,0,1,0,0,"[{""step_text"": ""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nClosed \n\n\n\n\n\nPriority"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""Minor                     \n\n\n\n\nResolution:\n\n                             Fixed\n                    \n\n\n\n\n\nAffects Version/s:\n\n\n\n1.2 \n\n\n\n\n\n\n\n                Fix Version/s:\n            \n\n\n\n1.3 \n\n\n\n\n\n\nComponent/s:\n\n\n\nParser \n\n\n\n\n\n\nLabels:\n\n\nNone\n\n\n \nDescription\n\nHello"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""Use case: I'm generating MySQL dump files (text format) - for more details check this - http://dev.mysql.com/doc/refman/5.7/en/select-into.html"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""AttachmentsAttachmentsOptionsSort By NameSort By DateAscendingDescendingcodec-168-gg.diff18/Jan/16 22:146 kBGary D. GregoryIssue Links\n\n\nis related to\n\n\n\n\n\nCSV-170\nCSVFormat"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""MYSQL nullString should be \""\\N\""\n\n\n\n\n\n\nrelates to\n\n\n\n\n\nCSV-169\nThe null string should be case-sensitive when reading records\n\n\n\n\n\n\nActivity\n\n\n\nPeople\n\n\n\nAssignee:\n\n\n\n\n\n            Gary D. Gregory\n        \n\n\n\n\n\nReporter"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}]","[""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nClosed \n\n\n\n\n\nPriority:"", ""Minor                     \n\n\n\n\nResolution:\n\n                             Fixed\n                    \n\n\n\n\n\nAffects Version/s:\n\n\n\n1.2 \n\n\n\n\n\n\n\n                Fix Version/s:\n            \n\n\n\n1.3 \n\n\n\n\n\n\nComponent/s:\n\n\n\nParser \n\n\n\n\n\n\nLabels:\n\n\nNone\n\n\n \nDescription\n\nHello,\nUse case: I'm generating MySQL dump files (text format) - for more details check this - http://dev.mysql.com/doc/refman/5.7/en/select-into.html."", ""AttachmentsAttachmentsOptionsSort By NameSort By DateAscendingDescendingcodec-168-gg.diff18/Jan/16 22:146 kBGary D. GregoryIssue Links\n\n\nis related to\n\n\n\n\n\nCSV-170\nCSVFormat."", ""MYSQL nullString should be \""\\N\""\n\n\n\n\n\n\nrelates to\n\n\n\n\n\nCSV-169\nThe null string should be case-sensitive when reading records\n\n\n\n\n\n\nActivity\n\n\n\nPeople\n\n\n\nAssignee:\n\n\n\n\n\n            Gary D. Gregory\n        \n\n\n\n\n\nReporter:""]"
Math-19,0.0,2,3,0,0,3,0,0,0,0,0,"[{""step_text"": ""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nClosed \n\n\n\n\n\nPriority"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""None\n\n\n \nDescription\n\nIf you give large values as lower/upper bounds (for example -Double.MAX_VALUE as a lower bound)"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""the optimizer can call the fitness function with parameters set to NaN.  My guess is this is due to FitnessFunction.encode/decode generating NaN when normalizing/denormalizing parameters"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}]","[""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nClosed \n\n\n\n\n\nPriority:"", ""None\n\n\n \nDescription\n\nIf you give large values as lower/upper bounds (for example -Double.MAX_VALUE as a lower bound), the optimizer can call the fitness function with parameters set to NaN.  My guess is this is due to FitnessFunction.encode/decode generating NaN when normalizing/denormalizing parameters.""]"
Closure-65,0.0,0,0,0,0,0,0,0,0,0,0,[],[]
Compress-16,0.0,4,7,0,0,7,0,0,1,0,0,"[{""step_text"": ""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nResolved \n\n\n\n\n\nPriority:\n\n\n  Minor                     \n\n\n\n\nResolution:\n\n                             Fixed\n                    \n\n\n\n\n\nAffects Version/s:\n\n\n\n1.2"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""1.3"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""1.4"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""1.4.1 \n\n\n\n\n\n\n\n                Fix Version/s:\n            \n\n\n\n1.5 \n\n\n\n\n\n\nComponent/s:\n\n\n\nArchivers \n\n\n\n\n\n\nLabels"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""Description\n\nThe relaxed tar detection logic added in COMPRESS-117 unfortunately matches also some non-tar files like a test AIFF file that Apache Tika uses"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""It would be good to improve the detection heuristics to still match files like the one in COMPRESS-117 but avoid false positives like the AIFF file in Tika"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""By NameSort By DateAscendingDescending0001-COMPRESS-191-Too-relaxed-tar-detection-in-ArchiveStr.patch30/Jun/12 09:0517 kBJukka ZittingIssue Links\n\n\nis duplicated by\n\n\n\n\n\nCOMPRESS-209\nDOC is incorrectly recognized as TAR\n\n\n\n\n\n\nrelates to\n\n\n\n\n\nCOMPRESS-707\nTAR: TarUtils.verifyCheckSum() throws an Exception when checksum could not be parsed\n\n\n\n\n\n\nActivity\n\n\n\nPeople\n\n\n\nAssignee:\n\n\n\n\n    Unassigned\n\n\n\n\n\nReporter"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}]","[""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nResolved \n\n\n\n\n\nPriority:\n\n\n  Minor                     \n\n\n\n\nResolution:\n\n                             Fixed\n                    \n\n\n\n\n\nAffects Version/s:\n\n\n\n1.2,                                            1.3,                                            1.4,                                            1.4.1 \n\n\n\n\n\n\n\n                Fix Version/s:\n            \n\n\n\n1.5 \n\n\n\n\n\n\nComponent/s:\n\n\n\nArchivers \n\n\n\n\n\n\nLabels:"", ""Description\n\nThe relaxed tar detection logic added in COMPRESS-117 unfortunately matches also some non-tar files like a test AIFF file that Apache Tika uses."", ""It would be good to improve the detection heuristics to still match files like the one in COMPRESS-117 but avoid false positives like the AIFF file in Tika."", ""By NameSort By DateAscendingDescending0001-COMPRESS-191-Too-relaxed-tar-detection-in-ArchiveStr.patch30/Jun/12 09:0517 kBJukka ZittingIssue Links\n\n\nis duplicated by\n\n\n\n\n\nCOMPRESS-209\nDOC is incorrectly recognized as TAR\n\n\n\n\n\n\nrelates to\n\n\n\n\n\nCOMPRESS-707\nTAR: TarUtils.verifyCheckSum() throws an Exception when checksum could not be parsed\n\n\n\n\n\n\nActivity\n\n\n\nPeople\n\n\n\nAssignee:\n\n\n\n\n    Unassigned\n\n\n\n\n\nReporter:""]"
Cli-18,0.0,2,3,0,0,3,0,0,0,0,0,"[{""step_text"": ""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nClosed \n\n\n\n\n\nPriority"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""Major                     \n\n\n\n\nResolution:\n\n                             Fixed\n                    \n\n\n\n\n\nAffects Version/s:\n\n\n\n1.1 \n\n\n\n\n\n\n\n                Fix Version/s:\n            \n\n\n\n1.2 \n\n\n\n\n\n\nComponent/s:\n\n\n\nParser \n\n\n\n\n\n\nLabels:\n\n\nNone\n\n\n \nDescription\n\nPosixParser doesn't handle properly unrecognized tokens starting with '-' when stopAtNonOption is enabled"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""the token is simply ignored"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}]","[""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nClosed \n\n\n\n\n\nPriority:"", ""Major                     \n\n\n\n\nResolution:\n\n                             Fixed\n                    \n\n\n\n\n\nAffects Version/s:\n\n\n\n1.1 \n\n\n\n\n\n\n\n                Fix Version/s:\n            \n\n\n\n1.2 \n\n\n\n\n\n\nComponent/s:\n\n\n\nParser \n\n\n\n\n\n\nLabels:\n\n\nNone\n\n\n \nDescription\n\nPosixParser doesn't handle properly unrecognized tokens starting with '-' when stopAtNonOption is enabled, the token is simply ignored.""]"
Jsoup-5,0.0,3,6,0,0,6,0,0,3,0,0,"[{""step_text"": ""StringIndexOutOfBoundsException when testing whether String content is valid HTML \u00a0#32New issueCopy linkNew issueCopy linkClosedClosedStringIndexOutOfBoundsException when testing whether String content is valid HTML #32Copy linkLabelsbugA confirmed bug"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""that we should fixA confirmed bug"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""that we should fixDescriptiontimezraopened on Aug 11"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""2010Issue body actionsIf I try to parse a tag with an equals sign (an empty attribute)"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""Whitelist;\nimport org.junit"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""Test;\npublic class BadAttributeTest {\n@test\npublic void aTagWithABadAttributeIsValid() throws Exception {\nassertTrue(Jsoup.isValid(\""<a =a\"", Whitelist.relaxed()));\n}\n}\njava.lang"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}]","[""StringIndexOutOfBoundsException when testing whether String content is valid HTML \u00a0#32New issueCopy linkNew issueCopy linkClosedClosedStringIndexOutOfBoundsException when testing whether String content is valid HTML #32Copy linkLabelsbugA confirmed bug, that we should fixA confirmed bug, that we should fixDescriptiontimezraopened on Aug 11, 2010Issue body actionsIf I try to parse a tag with an equals sign (an empty attribute)"", ""Whitelist;\nimport org.junit."", ""Test;\npublic class BadAttributeTest {\n@test\npublic void aTagWithABadAttributeIsValid() throws Exception {\nassertTrue(Jsoup.isValid(\""<a =a\"", Whitelist.relaxed()));\n}\n}\njava.lang.""]"
Compress-41,0.0,2,2,0,0,2,0,0,0,0,0,"[{""step_text"": ""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nResolved \n\n\n\n\n\nPriority:\n\n\n  Minor                     \n\n\n\n\nResolution:\n\n                             Fixed\n                    \n\n\n\n\n\nAffects Version/s:\n\n\n\n1.12 \n\n\n\n\n\n\n\n                Fix Version/s:\n            \n\n\n\n1.13 \n\n\n\n\n\n\nComponent/s:\n\n\n\nArchivers \n\n\n\n\n\n\nLabels:\n\n\nNone\n\n\n \nDescription\n\nZipArchiveInputStream.getNextZipEntry() currently returns null if an invalid entry is encountered"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""By NameSort By DateAscendingDescending0001-COMPRESS-367-Throw-ZipException-on-invalid-entry-wit.patch28/Oct/16 12:137 kBMichael MoleActivity\n\n\n\nPeople\n\n\n\nAssignee:\n\n\n\n\n    Unassigned\n\n\n\n\n\nReporter"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}]","[""Details\n\n\n\n\nType:\n\n\n Bug\n        \n\n \n\nStatus:\n\nResolved \n\n\n\n\n\nPriority:\n\n\n  Minor                     \n\n\n\n\nResolution:\n\n                             Fixed\n                    \n\n\n\n\n\nAffects Version/s:\n\n\n\n1.12 \n\n\n\n\n\n\n\n                Fix Version/s:\n            \n\n\n\n1.13 \n\n\n\n\n\n\nComponent/s:\n\n\n\nArchivers \n\n\n\n\n\n\nLabels:\n\n\nNone\n\n\n \nDescription\n\nZipArchiveInputStream.getNextZipEntry() currently returns null if an invalid entry is encountered."", ""By NameSort By DateAscendingDescending0001-COMPRESS-367-Throw-ZipException-on-invalid-entry-wit.patch28/Oct/16 12:137 kBMichael MoleActivity\n\n\n\nPeople\n\n\n\nAssignee:\n\n\n\n\n    Unassigned\n\n\n\n\n\nReporter:""]"
Closure-32,0.0,0,0,0,0,0,0,0,0,0,0,[],[]
Time-19,0.0,0,0,0,0,0,0,0,0,0,0,[],[]
JacksonDatabind-93,0.0,8,10,0,0,10,0,0,7,1,0,"[{""step_text"": ""NullPointerException in SubTypeValidator.validateSubType when validating Spring interface\u00a0#1872New issueCopy linkNew issueCopy linkClosedClosedNullPointerException in SubTypeValidator.validateSubType when validating Spring interface#1872Copy linkMilestone2.8.11.1Descriptionrwinchopened on Jan 5"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""2018Issue body actionsIn jackson-databind-2.8.11 jackson-databind-2.9.3"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""jackson-databind-2.9.4-SNAPSHOT SubTypeValidator.validateSubType fails with a NullPointerException if the JavaType.getRawClass() is an interface that starts with org.springframework"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""*;\n\npublic class Authentication {\n\tprivate List<GrantedAuthority> authorities = new ArrayList<GrantedAuthority>();\n\n\tpublic List<GrantedAuthority> getAuthorities() {\n\t\treturn this.authorities;\n\t}\n\n\tpublic void setAuthorities(List<GrantedAuthority> authorities) {\n\t\tthis.authorities = authorities;\n\t}\n}\npackage org.springframework.security.core;\n\npublic interface GrantedAuthority {\n\tString getAuthority();\n}\n@Test\npublic void validateSubTypeFailsWithNPE() throws Exception {\n\tObjectMapper mapper"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""= new ObjectMapper();\n\tmapper.enableDefaultTyping(ObjectMapper"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""DefaultTyping.NON_FINAL, JsonTypeInfo"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""ArrayList\\\"",[]]}\"";\n\n\tAuthentication authentication = mapper.readValue(json, Authentication.class);\n}\nwith the following stacktrace:\njava.lang.NullPointerException\n\tat com.fasterxml.jackson.databind.jsontype.impl"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""SubTypeValidator.validateSubType(SubTypeValidator.java:86)\n\tat com.fasterxml.jackson.databind.deser.BeanDeserializerFactory._validateSubType(BeanDeserializerFactory.java:916)\n\tat com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer(BeanDeserializerFactory.java:135)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache._createDeserializer2(DeserializerCache.java:411)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache._createDeserializer(DeserializerCache.java:349)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache._createAndCache2(DeserializerCache.java:264)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache._createAndCacheValueDeserializer(DeserializerCache.java:244)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache.findValueDeserializer(DeserializerCache.java:142)\n\tat com.fasterxml.jackson.databind.DeserializationContext.findContextualValueDeserializer(DeserializationContext.java:444)\n\tat com.fasterxml.jackson.databind.deser.std"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": true, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""ObjectMapper._findRootDeserializer(ObjectMapper.java:4178)\n\tat com.fasterxml.jackson.databind.ObjectMapper._readMapAndClose(ObjectMapper.java:3997)\n\tat com.fasterxml.jackson.databind.ObjectMapper.readValue(ObjectMapper.java:2992)"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": true, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}, {""step_text"": ""MetadataMetadataAssigneesNo one assignedLabelsNo labelsNo labelsTypeNo typeProjectsNo projectsMilestoneRelationshipsNone yetDevelopmentNo branches or pull requestsIssue actions"", ""has_action"": false, ""has_object"": false, ""has_ui_term"": false, ""is_imperative"": false, ""has_vague_terms"": false, ""quality_label"": ""VM"", ""issues"": [""No clear action verb (vocabulary mismatch).""]}]","[""NullPointerException in SubTypeValidator.validateSubType when validating Spring interface\u00a0#1872New issueCopy linkNew issueCopy linkClosedClosedNullPointerException in SubTypeValidator.validateSubType when validating Spring interface#1872Copy linkMilestone2.8.11.1Descriptionrwinchopened on Jan 5, 2018Issue body actionsIn jackson-databind-2.8.11 jackson-databind-2.9.3 and  jackson-databind-2.9.4-SNAPSHOT SubTypeValidator.validateSubType fails with a NullPointerException if the JavaType.getRawClass() is an interface that starts with org.springframework."", ""*;\n\npublic class Authentication {\n\tprivate List<GrantedAuthority> authorities = new ArrayList<GrantedAuthority>();\n\n\tpublic List<GrantedAuthority> getAuthorities() {\n\t\treturn this.authorities;\n\t}\n\n\tpublic void setAuthorities(List<GrantedAuthority> authorities) {\n\t\tthis.authorities = authorities;\n\t}\n}\npackage org.springframework.security.core;\n\npublic interface GrantedAuthority {\n\tString getAuthority();\n}\n@Test\npublic void validateSubTypeFailsWithNPE() throws Exception {\n\tObjectMapper mapper"", ""= new ObjectMapper();\n\tmapper.enableDefaultTyping(ObjectMapper."", ""DefaultTyping.NON_FINAL, JsonTypeInfo."", ""ArrayList\\\"",[]]}\"";\n\n\tAuthentication authentication = mapper.readValue(json, Authentication.class);\n}\nwith the following stacktrace:\njava.lang.NullPointerException\n\tat com.fasterxml.jackson.databind.jsontype.impl."", ""SubTypeValidator.validateSubType(SubTypeValidator.java:86)\n\tat com.fasterxml.jackson.databind.deser.BeanDeserializerFactory._validateSubType(BeanDeserializerFactory.java:916)\n\tat com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer(BeanDeserializerFactory.java:135)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache._createDeserializer2(DeserializerCache.java:411)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache._createDeserializer(DeserializerCache.java:349)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache._createAndCache2(DeserializerCache.java:264)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache._createAndCacheValueDeserializer(DeserializerCache.java:244)\n\tat com.fasterxml.jackson.databind.deser.DeserializerCache.findValueDeserializer(DeserializerCache.java:142)\n\tat com.fasterxml.jackson.databind.DeserializationContext.findContextualValueDeserializer(DeserializationContext.java:444)\n\tat com.fasterxml.jackson.databind.deser.std."", ""ObjectMapper._findRootDeserializer(ObjectMapper.java:4178)\n\tat com.fasterxml.jackson.databind.ObjectMapper._readMapAndClose(ObjectMapper.java:3997)\n\tat com.fasterxml.jackson.databind.ObjectMapper.readValue(ObjectMapper.java:2992)"", ""MetadataMetadataAssigneesNo one assignedLabelsNo labelsNo labelsTypeNo typeProjectsNo projectsMilestoneRelationshipsNone yetDevelopmentNo branches or pull requestsIssue actions""]"
