feature1,feature2,correlation
has_EB,missing_EB,0.9999999999999999
fine_grained_confidence,causal_reasoning_quality,0.9315759155196752
fine_grained_confidence,clarity,0.9674158785099872
fine_grained_confidence,technical_depth,0.888857719936094
fine_grained_confidence,confidence,0.9926835225173998
fine_grained_confidence,specificity,0.9370278118821417
fine_grained_confidence,expected_observed_alignment,0.9663532332756706
fine_grained_confidence,repair_difficulty,0.8558445825416892
fine_grained_confidence,actionability,0.9488535292659638
causal_reasoning_quality,clarity,0.9656909387876826
causal_reasoning_quality,technical_depth,0.8921883937676274
causal_reasoning_quality,confidence,0.9212877440604019
causal_reasoning_quality,specificity,0.9381573260012583
causal_reasoning_quality,expected_observed_alignment,0.9600658499023117
causal_reasoning_quality,repair_difficulty,0.8430320315043747
causal_reasoning_quality,actionability,0.9432812549322198
n_sentences,n_tokens,0.8466083632915662
n_sentences,description_chars,0.8646355841581999
n_sentences,n_words,0.8337508905429598
missing_OB,has_OB,1.0000000000000002
clarity,technical_depth,0.9219356668694451
clarity,confidence,0.962767895275832
clarity,specificity,0.9720240537613617
clarity,expected_observed_alignment,0.9713640114796127
clarity,repair_difficulty,0.8623038587158852
clarity,actionability,0.9729841011357824
n_tokens,description_chars,0.9091684579062667
n_tokens,n_words,0.9220466897622246
technical_depth,confidence,0.8809523691639363
technical_depth,specificity,0.9426012073559321
technical_depth,expected_observed_alignment,0.8899746812740089
technical_depth,actionability,0.9333201327344842
flesch_reading_ease,automated_readability_index,0.9384061002745748
flesch_reading_ease,coleman_liau_index,0.9659108115604574
num_causal_markers,n_words,0.8275474328617223
automated_readability_index,coleman_liau_index,0.9856247340017863
confidence,specificity,0.9255433075730336
confidence,expected_observed_alignment,0.9575822224600146
confidence,repair_difficulty,0.8437329378492603
confidence,actionability,0.9370367798398882
specificity,expected_observed_alignment,0.9488897649871841
specificity,repair_difficulty,0.8548929754782547
specificity,actionability,0.9778352874063797
expected_observed_alignment,repair_difficulty,0.8258570587577926
expected_observed_alignment,actionability,0.9465064792965115
repair_difficulty,actionability,0.8862246283401233
