id,title,description_length,category,confidence,reasoning
Csv-13,[CSV-168] CsvFormat.nullString should not be escaped - ASF JIRA,1828,Functional Issue,5,"The bug report describes an issue where the CsvPrinter.printAndEscape method incorrectly escapes the nullString value, leading to unexpected behavior when generating MySQL dump files. This relates to core application logic and incorrect output, classifying it as a functional issue."
Math-19,[MATH-865] Wide bounds to CMAESOptimizer result in NaN parameters passed to fitness function - ASF JIRA,1437,Functional Issue,5,The bug report describes a scenario where the CMAESOptimizer produces NaN parameters due to issues in the FitnessFunction's encode/decode methods when handling large bounds. This indicates a flaw in the core application logic of the optimization algorithm.
Closure-65,Issue Report,20,Functional Issue,1,"Without a description, it's impossible to determine the exact nature of the bug. However, assuming it is a real issue reported, it likely relates to unexpected application behavior due to a problem in the core logic, hence Functional Issue."
Compress-16,[COMPRESS-191] Too relaxed tar detection in ArchiveStreamFactory - ASF JIRA,1645,Functional Issue,5,"The bug report describes incorrect file type detection by the tar archive handling logic, leading to false positives. This falls under the core application logic and its expected behavior."
Cli-18,[CLI-164] PosixParser ignores unrecognized tokens starting with '-' - ASF JIRA,1098,Functional Issue,5,"The bug report describes an issue where the PosixParser incorrectly interprets command-line arguments, leading to unexpected behavior. This is a clear problem with the core application logic of the parser."
Jsoup-5,Issue Report,1710,Functional Issue,5,"The bug is a StringIndexOutOfBoundsException, which occurs because of incorrect parsing logic within the jsoup library when handling malformed HTML. This indicates a problem in the core application logic responsible for parsing and validating HTML content."
Compress-41,"[COMPRESS-367] ZipArchiveInputStream.getNextZipEntry() should differentiate between ""invalid entry encountered"" and ""no more entries"" - ASF JIRA",1346,Functional Issue,5,"The bug report describes an issue where `ZipArchiveInputStream.getNextZipEntry()` returns null in cases where it encounters an invalid entry, making it impossible to distinguish between the end of the archive and an invalid entry. This is a problem with the core logic of how the program handles Zip archive parsing, thus a functional issue."
Closure-32,Issue Report,20,Functional Issue,1,"The bug report lacks a description, making it difficult to categorize. However, a general 'issue' without further information leans towards a potential problem in the application's core logic, which is often a functional issue."
Time-19,#124 Inconsistent interpretation of ambiguous time during DST,1110,Functional Issue,5,"The bug report describes a change in the core logic of the JodaTime library regarding how ambiguous times during DST transitions are handled, leading to incorrect time interpretations. This directly impacts the application's functionality and produces unexpected output."
JacksonDatabind-93,Issue Report,3942,Functional Issue,5,"The bug report describes a NullPointerException occurring during deserialization due to an issue in the `SubTypeValidator` class when validating Spring interfaces. This indicates a problem with the core application logic related to type handling during deserialization, which falls under functional issues."
Math-2,[MATH-1021] HypergeometricDistribution.sample suffers from integer overflow - ASF JIRA,2061,Functional Issue,5,"The bug report describes an integer overflow in the `HypergeometricDistribution.sample()` method, which leads to incorrect return values. This is a clear issue in the core application logic, making it a functional issue."
Lang-4,"[LANG-882] LookupTranslator accepts CharSequence as input, but fails to work with implementations other than String - ASF JIRA",3094,Functional Issue,5,"The bug report describes a core application logic error in the `LookupTranslator` class, where it fails to correctly handle `CharSequence` implementations other than `String`, leading to unexpected translation results. This is a fundamental issue with the intended functionality of the class."
Math-58,[MATH-519] GaussianFitter Unexpectedly Throws NotStrictlyPositiveException - ASF JIRA,2880,Functional Issue,5,"The bug report describes an exception (`NotStrictlyPositiveException`) thrown by the GaussianFitter when fitting a set of observations. This indicates an issue with the core application logic related to the Gaussian fitting algorithm, specifically in the parameter validation."
