bug_id,project,percent_agreement,cohens_kappa,aggregated_raw,aggregated_derived,aggregated_zscore
Chart-1,Chart,1.0,1.0,"{'Actionability': 0, 'Clarity': 0, 'Specificity': 1, 'Reproducibility': 0, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 1}","{'repair_difficulty': 4, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 1}","{'Actionability': -0.7200034083082247, 'Clarity': -0.7200034083082247, 'Specificity': -0.1107697551243423, 'Reproducibility': -0.7200034083082247, 'ReasoningQuality': -0.1107697551243423, 'TechnicalContext': -0.7200034083082247, 'Ambiguity': 2.3261648576111877, 'RepairReadiness': 1.716931204427305, 'RootCauseEvidence': -0.1107697551243423, 'HiddenReproducibility': -0.7200034083082247, 'ImpactScope': -0.1107697551243423}"
Chart-11,Chart,1.0,1.0,"{'Actionability': 0, 'Clarity': 0, 'Specificity': 0, 'Reproducibility': 0, 'ReasoningQuality': 0, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.5244044240850757, 'Clarity': -0.5244044240850757, 'Specificity': -0.5244044240850757, 'Reproducibility': -0.5244044240850757, 'ReasoningQuality': -0.5244044240850757, 'TechnicalContext': -0.5244044240850757, 'Ambiguity': 2.097617696340303, 'RepairReadiness': 2.097617696340303, 'RootCauseEvidence': 0.0, 'HiddenReproducibility': -0.5244044240850757, 'ImpactScope': -0.5244044240850757}"
Chart-12,Chart,1.0,1.0,"{'Actionability': 0, 'Clarity': 0, 'Specificity': 0, 'Reproducibility': 0, 'ReasoningQuality': 0, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.5244044240850757, 'Clarity': -0.5244044240850757, 'Specificity': -0.5244044240850757, 'Reproducibility': -0.5244044240850757, 'ReasoningQuality': -0.5244044240850757, 'TechnicalContext': -0.5244044240850757, 'Ambiguity': 2.097617696340303, 'RepairReadiness': 2.097617696340303, 'RootCauseEvidence': 0.0, 'HiddenReproducibility': -0.5244044240850757, 'ImpactScope': -0.5244044240850757}"
Chart-16,Chart,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 1, 'Reproducibility': 1, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 4, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.8778086039709792, 'Clarity': -0.23408229439226108, 'Specificity': -0.23408229439226108, 'Reproducibility': -0.23408229439226108, 'ReasoningQuality': -0.23408229439226108, 'TechnicalContext': -0.8778086039709792, 'Ambiguity': 2.3408229439226114, 'RepairReadiness': 1.6970966343438934, 'RootCauseEvidence': -0.23408229439226108, 'HiddenReproducibility': -0.23408229439226108, 'ImpactScope': -0.8778086039709792}"
Chart-17,Chart,1.0,1.0,"{'Actionability': 0, 'Clarity': 0, 'Specificity': 0, 'Reproducibility': 0, 'ReasoningQuality': 0, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.5800418934273981, 'Clarity': -0.5800418934273981, 'Specificity': -0.5800418934273981, 'Reproducibility': -0.5800418934273981, 'ReasoningQuality': -0.5800418934273981, 'TechnicalContext': -0.5800418934273981, 'Ambiguity': 2.078483451448177, 'RepairReadiness': 2.078483451448177, 'RootCauseEvidence': -0.048336824452283135, 'HiddenReproducibility': -0.048336824452283135, 'ImpactScope': -0.5800418934273981}"
Chart-2,Chart,1.0,1.0,"{'Actionability': 0, 'Clarity': 0, 'Specificity': 0, 'Reproducibility': 0, 'ReasoningQuality': 0, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 0, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 0, 'impact_scope': 0}","{'Actionability': -0.4714045207910317, 'Clarity': -0.4714045207910317, 'Specificity': -0.4714045207910317, 'Reproducibility': -0.4714045207910317, 'ReasoningQuality': -0.4714045207910317, 'TechnicalContext': -0.4714045207910317, 'Ambiguity': 2.121320343559643, 'RepairReadiness': 2.121320343559643, 'RootCauseEvidence': -0.4714045207910317, 'HiddenReproducibility': -0.4714045207910317, 'ImpactScope': -0.4714045207910317}"
Chart-5,Chart,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 4, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.8464989719746505, 'Clarity': -0.22573305919324008, 'Specificity': -0.8464989719746505, 'Reproducibility': 0.3950328535881703, 'ReasoningQuality': -0.22573305919324008, 'TechnicalContext': -0.8464989719746505, 'Ambiguity': 2.257330591932402, 'RepairReadiness': 1.6365646791509914, 'RootCauseEvidence': -0.22573305919324008, 'HiddenReproducibility': -0.22573305919324008, 'ImpactScope': -0.8464989719746505}"
Chart-9,Chart,1.0,1.0,"{'Actionability': 0, 'Clarity': 2, 'Specificity': 1, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 4, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.900070320740819, 'Clarity': 0.33752637027780713, 'Specificity': -0.281271975231506, 'Reproducibility': 0.33752637027780713, 'ReasoningQuality': -0.281271975231506, 'TechnicalContext': -0.900070320740819, 'Ambiguity': 2.1939214068057464, 'RepairReadiness': 1.5751230612964333, 'RootCauseEvidence': -0.281271975231506, 'HiddenReproducibility': -0.900070320740819, 'ImpactScope': -0.900070320740819}"
Cli-1,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 2, 'Specificity': 1, 'Reproducibility': 4, 'ReasoningQuality': 2, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 1}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 1}","{'Actionability': -1.137592917989042, 'Clarity': 0.0, 'Specificity': -0.568796458994521, 'Reproducibility': 1.137592917989042, 'ReasoningQuality': 0.0, 'TechnicalContext': -1.137592917989042, 'Ambiguity': 1.7063893769835632, 'RepairReadiness': 1.7063893769835632, 'RootCauseEvidence': -0.568796458994521, 'HiddenReproducibility': -0.568796458994521, 'ImpactScope': -0.568796458994521}"
Cli-10,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 1, 'Reproducibility': 4, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 2, 'RepairReadiness': 2, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 3, 'ambiguity_count': 2, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.9396184772996339, 'Clarity': -0.20134681656420725, 'Specificity': -0.20134681656420725, 'Reproducibility': 2.013468165642073, 'ReasoningQuality': -0.20134681656420725, 'TechnicalContext': -0.9396184772996339, 'Ambiguity': 1.275196504906646, 'RepairReadiness': 1.275196504906646, 'RootCauseEvidence': -0.20134681656420725, 'HiddenReproducibility': -0.9396184772996339, 'ImpactScope': -0.9396184772996339}"
